VARIABLE,NAME,UNITS,DESCRIPTION
metal_ext_units,Extractable metals units,,Controlled vocabulary: extract_units
metal_ext_method,Extractable metals methods,free text,
p_bray,Extractable [P] (Bray),specified by p_units,
p_ox,Extractable [P] (Oxalate),specified by p_units,
p_meh,Extractable [P] (NZ),specified by p_units,
p_other,Extractable [P] (Other),specified by p_units,
p_units,Extractable P units,,Controlled vocabulary: extract_units
p_method,Extractable P methods,free text,
soc,Bulk Layer Calculated Soil Organic Carbon Stock,g cm-2,"The data contributor's calculated soil organic carbon stock value for the site, cluster, profile or layer."
soc_type,Bulk Layer Calculated Soil Organic Carbon Stock Type,CV,"An indication of which portion of the profile (organic, mineral, organic + mineral) is described by the contributor's calculated soil organic carbon stock at the site, cluster, profile or layer level.
Controlled vocabulary: ccon_type"
soc_sigma,Bulk Layer Calculated Soil Organic Carbon Stock Standard Deviation,g cm-2,"The standard deviation of the site, cluster, profile, or layer-level calculated soil organic carbon stock. (For layer soil organic carbon stocks, this may be based on analytical or sampling replicates of %C or bulk density measurements)."
soc_method,Bulk Layer Calculated Soil Organic Carbon Stock Method,free text,"A description of the methods used to calculate (including any gap-filling) site, cluster, profile or layer soil organic carbon stocks."
c_tot,Bulk Layer Total Carbon,%,"Percent by weight of carbon in the dried, milled soil sample. This measurement will typically correspond to analytical results from an elemental analyzer."
oc,Bulk Layer Organic Carbon,%,"Percent by weight of carbon in a dried soil sample after acidification with HCl, OR organic carbon as estimated by Walkley-Black Modified Acid-Dichromate (e.g. ‘Organic Carbon’ in the NRCS database). Please document the method in the associated Carbon Analysis Methods."
n_tot,Bulk Layer Total Nitrogen,%,Percent by weight of nitrogen (organic and inorganic) in an oven-dried sample (the laboratory analytical concentration).
c_to_n,Bulk Layer C:N,mass %,"Mass ratio of total carbon to total nitrogen, as calculated from the total carbon and total nitrogen concentrations of the bulk layer, fraction, or other sample type."
loi,Bulk Layer Loss on Ignition,%,Percent by weight of the organic content of the <2mm fraction is the organic material lost after ignition. It is reported on a <2 mm base. Please document the method in the associated Carbon Analysis Method.
root_quant_size,Root Quantity and Size,free text,"Use USDA NRCS conventions from the USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002; p.2-56): Record the average quantity from 3 to 5 representative unit areas. Size classes of roots being considered: very fine, < 1mm; fine, 1 – 2mm diameter.
Examples include: ""few very fine"", ""Common very fine”, ""fine"""
root_weight,<2mm Root Mass,g,Dry weight of roots ≤2 mm in diameter in the sample.
15n,Bulk Layer δ15N,‰,Per mille signature of δ15N relative to air (international standard).
13c,Bulk Layer δ13C,‰,Per mille signature of δ13C relative to Pee Dee Belemnite.
rc_lab,Radiocarbon Laboratory ID,free text,Laboratory code for radiocarbon laboratory. Complete list of past and present laboratory codes can found published in Radiocarbon in November 2011 (http://www.radiocarbon.org/Info/labcodes.html).
rc_lab_number,Radiocarbon Laboratory Sample Number,free text,Layer sample identifier as designated by the radiocarbon laboratory.
rc_year,Radiocarbon Analysis Year,YYYY,Year in which radiocarbon analysis was performed on the sample.
14c,Bulk Layer Δ14C,‰,Per mille signature of Δ14C relative to NBS Oxalic Acid standard.
14c_sigma,Bulk Layer Δ14C Standard Deviation,‰,Error estimate for the fraction (eg. standard deviation of analytical reps).
14c_age,Bulk Layer Uncalibrated Radiocarbon Age,BP,"Uncalibrated radiocarbon age of bulk soil in layer, as calculated from corrected fraction modern, using the Libby half-life value of 5568 years."
14c_age_sigma,Bulk Layer Uncalibrated Radiocarbon Age Standard Deviation,BP,Error estimate for the fraction (eg. standard deviation of analytical reps).
fraction_modern,Bulk Layer Fraction Modern,free text,"Deviation of the bulk sample or fraction from modern. Modern is defined as 95% of the radiocarbon concentration (in AD 1950) of NBS Oxalic Acid standard, 13C-corrected."
fraction_modern_sigma,Bulk Layer Fraction Modern Standard Deviation,free text,Error estimate for an individual layer (eg. standard deviation of analytical reps).
textureClass,Texture Class,free text,"Soil texture classification. If no information is provided, this will be automatically generated from %sand, %silt, %clay data (coarse = ≥50% sand; fine = <50% sand)."
