table_id,column_id,of_variable,is_type,with_entry
site,water_table_duration,Wet Soil Moisture Duration,description,The cumulative annual duration that a water table can be expected to exist in the soil.
site,cflux_note,C Flux Notes,units,free text
site,cflux_note,C Flux Notes,description,"Provide references or links to carbon flux measurements that have been conducted at the site.
Examples include: “http://www.fluxdata.org/Data%20Browsing/Documents%20Free/FluxMetSummary.aspx”, “Gough et al. 2007 Legacy of harvest…”"
site,climate_note,Climate Notes,units,free text
site,climate_note,Climate Notes,description,"Provide references or links to climate data for the site.
Examples include: “http://www.lternet.edu/sites/hbr/”, “Nave et al. 2009 Contribution of atmospheric deposition…”"
site,eco_note,Ecoregion Note,units,free text
site,eco_note,Ecoregion Note,description,Special information about the site that makes it anomalous from the USDA Omernik ecoregion in which it is located.
site,photo_note,Photo Notes,units,free text
site,photo_note,Photo Notes,description,"References or links to photos from the site.
Examples include: “Available at http://lter.kbs.msu.edu/photos/index.php”"
site,soiltemp_note,Soil Temperature Notes,units,free text
site,soiltemp_note,Soil Temperature Notes,description,Indicate information about additional soil temperature data available about this site. Please include references and links if possible.
site,add_note,Additional Data Note,units,free text
site,add_note,Additional Data Note,description,"Add links or publication references for any additional belowground data available for the site (soil chemistry, microbial measurements)."
site,soc,Site Calculated Soil Organic Carbon Stock,units,g cm-2
site,soc,Site Calculated Soil Organic Carbon Stock,description,"The data contributor's calculated soil organic carbon stock value for the site, cluster, profile or layer."
site,soc_type,Site Calculated Soil Organic Carbon Stock Type,control vocabulary,CV
site,soc_type,Site Calculated Soil Organic Carbon Stock Type,description,"An indication of which portion of the profile (organic, mineral, organic + mineral) is described by the contributor's calculated soil organic carbon stock at the site, cluster, profile or layer level.
Controlled vocabulary: ccon_type"
site,soc_pcount,Site Calculated Soil Organic Carbon Stock Profile Count,units,free text
site,soc_pcount,Site Calculated Soil Organic Carbon Stock Profile Count,description,The number of profiles used in the calculation of the mean site or cluster-level soil organic carbon stocks.
site,soc_depth,Site Calculated Soil Organic Carbon Stock Depth,units,cm
site,soc_depth,Site Calculated Soil Organic Carbon Stock Depth,description,"The depth to which profiles were sampled to quantify the mean site, cluster, or profile calculated soil organic carbon stocks."
site,soc_sigma,Site Calculated Soil Organic Carbon Stock Standard Deviation,units,g cm-2
site,soc_sigma,Site Calculated Soil Organic Carbon Stock Standard Deviation,description,"The standard deviation of the site, cluster, profile, or layer-level calculated soil organic carbon stock. (For layer soil organic carbon stocks, this may be based on analytical or sampling replicates of %C or bulk density measurements)."
site,soc_method,Site Calculated Soil Organic Carbon Stock Method,units,free text
site,soc_method,Site Calculated Soil Organic Carbon Stock Method,description,"A description of the methods used to calculate (including any gap-filling) site, cluster, profile or layer soil organic carbon stocks."
citation,curator_name,Curator Name,units,free text
citation,curator_name,Curator Name,description,Curator Name
citation,curator_organization,Curator Organization,units,free text
citation,curator_organization,Curator Organization,description,Curator Organization
citation,curator_email,Curator Email,units,free text
citation,curator_email,Curator Email,description,Curator Email
citation,modification_date,Template Modification Date,units,YYYY-MM-DD or MM/DD/YYYY
citation,modification_date,Template Modification Date,description,Template Modification Date
citation,contact_name,Additional Contact Name,units,free text
citation,contact_name,Additional Contact Name,description,Additional Contact Name
citation,contact_email,Additional Contact Email,units,free text
citation,contact_email,Additional Contact Email,description,Additional Contact Email
citation,dataset_name,Dataset Name,units,free text
citation,dataset_name,Dataset Name,description,Dataset Name
citation,dataset_description,Dataset Description,units,free text
citation,dataset_description,Dataset Description,description,Dataset Description
citation,reference,Reference,units,free text
citation,reference,Reference,description,Reference
citation,citation,Citation text,units,free text
citation,citation,Citation text,description,Citation text
citation,citation_usage,Citation usage,units,free text
citation,citation_usage,Citation usage,description,Citation usage
citation,acknowledgement,Acknowlegement text,units,free text
citation,acknowledgement,Acknowlegement text,description,Acknowlegement text
citation,acknowledgement_usage,Acknowlegement usage,units,free text
citation,acknowledgement_usage,Acknowlegement usage,description,Acknowlegement usage
citation,metadata_general,General Metadata,units,free text
citation,metadata_general,General Metadata,description,General Metadata
citation,missdata_param,Parameters for Missing Data Equations,units,free text
citation,missdata_param,Parameters for Missing Data Equations,description,Parameters for Missing Data Equations
citation,resample,Resample Metadata,units,free text
citation,resample,Resample Metadata,description,Resample Metadata
citation,funding_organization,Funding Organization(s),units,free text
citation,funding_organization,Funding Organization(s),description,Funding Organization(s)
layer,c_method,Bulk Layer Carbon Analysis Method,method,Bulk Layer Carbon Analysis Method
layer,bd_method,Bulk Density Method,method,Bulk Density Method
layer,ph_method,pH Method,method,pH Method
layer,wpg2_method,Coarse Fragments Method,method,Coarse Fragments Method
layer,soc_method,Bulk Layer Calculated Soil Organic Carbon Stock Method,method,Bulk Layer Calculated Soil Organic Carbon Stock Method
profile,layer_method,Layer Sampling Method,method,Layer Sampling Method
profile,profile_method,Profile Sampling Method,method,Profile Sampling Method
profile,soc_method,Profile Calculated Soil Organic Carbon Stock Method,method,Profile Calculated Soil Organic Carbon Stock Method
site,soc_method,Site Calculated Soil Organic Carbon Stock Method,method,Site Calculated Soil Organic Carbon Stock Method
