Subsection, Column name (attribute),Descriptive name, Oracle data type,Description
3.1.31,DAMSEV1,Damage severity 1 ,NUMBER(1),"(core where PLOT.MANUAL = 1.0 through 1.6; core optional beginning with PLOT.MANUAL = 1.7) A code indicating how much of the tree is affected. Valid severity codes vary by damage type and damage location and must exceed a threshold value, as defined in the field guide. If DAMLOC1 = 0, then DAMSEV1 = blank (null)."
3.1.32,DAMLOC2,Damage location 2,NUMBER(2),"(core where PLOT.MANUAL = 1.0 through 1.6; core optional
beginning with PLOT.MANUAL = 1.7) A code indicating where secondary damage (meeting or exceeding a severity threshold, as defined in the field guide) is present. Uses same codes as DAMLOC1. If DAMLOC1 = 0, then DAMLOC2 = blank (null) or 0."
3.1.33,DAMTYP2,Damage type 2,NUMBER(2),"(core where PLOT.MANUAL = 1.0 through 1.6; core optional beginning with PLOT.MANUAL = 1.7) A code indicating the kind of secondary damage (meeting or exceeding a severity threshold, as defined in the field guide) present. Uses same codes as DAMTYP1. If DAMLOC1 = 0, then DAMTYP2 = blank (null)."
3.1.34,DAMSEV2,Damage severity 2 ,NUMBER(1),"(core where PLOT.MANUAL = 1.0 through 1.6; core optional
beginning with PLOT.MANUAL = 1.7) A code indicating how much of the tree is affected by the secondary damage. Valid severity codes vary by damage type and damage location and must exceed a threshold value, as defined in the field guide. Uses same codes as DAMSEV1. If DAMLOC1 = 0, then DAMSEV2 = blank (null)."
3.1.35,DECAYCD,Decay class code ,NUMBER(2),A code indicating the stage of decay in a standing dead tree (STANDING_DEAD_CD = 1). Not populated for standing dead saplings (1.0-4.9 inches d.b.h./d.r.c.) when PLOT.MANUAL <7.0.
3.1.36,STOCKING,Tree stocking ,"NUMBER(7,4)","The stocking value, in percent, computed for each live tree. Stocking values are computed using several specific species equations that were developed from normal yield tables and stocking charts. Resultant values are a function of diameter. The
stocking of individual trees is used to calculate COND.GSSTK, COND.GSSTKCD, COND.ALSTK, and COND.ALSTKCD on the condition record."
3.1.37,WDLDSTEM,Woodland tree species stem count ,NUMBER(3),"The number of live and dead stems used to calculate diameter on a woodland tree. Woodland species are identified by REF_SPECIES.WOODLAND = 'Y' in the REF_SPECIES table.SFTWD_HRDWD These tree species have diameter measured at the root collar. For a stem to be counted, it must have a minimum stem size of 1 inch in diameter and 1 foot in length."
3.1.38,VOLCFNET,Net cubic-foot stem wood volume,"NUMBER(11,6)","The net cubic-foot volume of wood in the central stem of timber species (trees where diameter is measured at breast height [d.b.h.]) ω5.0 inches d.b.h., from a 1-foot stump to a minimum 4-inch top diameter, or to where the central stem breaks into limbs all of which are <4.0 inches in diameter. Calculated for live and standing dead trees. Does not include rotten, missing, and form cull (volume loss due to rotten, missing, and form cull defect has been deducted). This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for timber species with DIA <5.0 inches and for woodland species. Refer to appendix K for more information on FIA volume, biomass, and carbon estimation."
3.1.39,VOLCFGRS,Gross cubic-foot stem wood volume ,"NUMBER(11,6)","The total cubic-foot volume of wood in the central stem of timber species (trees where diameter is measured at breast height [d.b.h.]) ω5.0 inches d.b.h., from a 1-foot stump to a minimum 4-inch top diameter, or to where the central stem breaks into limbs all of which are <4.0 inches in diameter. Calculated for live and standing dead trees. Includes rotten, missing, and form cull (volume loss due to rotten, missing, and form cull defect has not been deducted). This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for timber species with DIA <5.0 inches and for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.40,VOLCSNET,Net cubic-foot wood volume in the sawlog portion of a sawtimber tree,"NUMBER(11,6)","The net cubic-foot volume of wood in the central stem of a timber species tree of sawtimber size (9.0 inches d.b.h. minimum for softwoods, 11.0 inches d.b.h. minimum for hardwoods), from a 1-foot stump to a minimum top diameter, (7.0 inches for softwoods, 9.0 inches for hardwoods) or to where the central stem breaks into limbs, all of which are less than the minimum top diameter. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for softwood trees with DIA <9.0 inches (<11.0 inches for hardwoods). All sawtimber-size trees have entries in this field if they are growing-stock trees (TREECLCD = 2 and STATUSCD = 1). All rough and rotten trees (TREECLCD = 3 or 4) and dead and cut trees (STATUSCD = 2 or 3) are blank (null) in this field. Form cull and rotten/missing cull are excluded. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.41,VOLCSGRS,Gross cubic-foot wood volume in the sawlog portion of a sawtimber tree,"NUMBER(11,6)","The total cubic-foot volume of wood in the central stem of a timber species tree of sawtimber size (9.0 inches d.b.h. minimum for softwoods, 11.0 inches d.b.h. minimum for hardwoods), from a 1-foot stump to a minimum top diameter (7.0 inches for softwoods, 9.0 inches for hardwoods), or to where the central stem breaks into limbs, all of which are less than the minimum top diameter. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for softwood trees with DIA <9.0 inches (<11.0 inches for hardwoods). All sawtimber-size trees have entries in this field if they are growing-stock trees (TREECLCD = 2 and STATUSCD = 1). All rough and rotten trees (TREECLCD = 3 or 4) and dead and cut trees (STATUSCD = 2 or 3) are blank (null) in this field. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.42,VOLBFNET,Net board-foot wood volume in the sawlog portion of a sawtimber tree,"NUMBER(11,6)","The net board-foot (International ¼-inch Rule) volume of wood in the central stem of a timber species tree of sawtimber size (9.0 inches d.b.h. minimum for softwoods, 11.0 inches d.b.h. minimum for hardwoods), from a 1-foot stump to a minimum top diameter (7.0 inches for softwoods, 9.0 inches for hardwoods), or to where the central stem breaks into limbs all of which are less than the minimum top diameter. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per unit area information. This attribute is blank (null) for softwood trees with DIA <9.0 inches (<11.0 inches for hardwoods). All sawtimber-size trees have entries in this field if they are growing-stock trees (TREECLCD
= 2 and STATUSCD = 1). All rough and rotten trees (TREECLCD = 3 or 4) and dead and cut trees (STATUSCD = 2 or 3) are blank (null) in this field. Form cull and rotten/missing cull are excluded."
3.1.43,VOLBFGRS,Gross board-foot wood volume in the sawlog portion of a sawtimber tree,"NUMBER(11,6)","The total board-foot (International ¼-inch Rule) volume of wood in the central stem of a timber species tree of sawtimber size (9.0 inches d.b.h. minimum for softwoods, 11.0 inches d.b.h. minimum for hardwoods), from a 1-foot stump to a minimum top diameter (7.0 inches for softwoods, 9.0 inches for hardwoods), or to where the central stem breaks into limbs all of which are less than the minimum top diameter. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per unit area information. This attribute is blank (null) for softwood trees with DIA <9.0 inches (<11.0 inches for hardwoods). All sawtimber-size trees have entries in this field if they are growing-stock trees (TREECLCD = 2 and STATUSCD = 1). All rough and rotten trees (TREECLCD = 3 or 4) and dead and cut trees (STATUSCD = 2 or 3) are blank (null) in this field."
3.1.44,VOLCFSND,Sound cubic-foot stem wood volume ,"NUMBER(11,6)","The sound cubic-foot volume of wood in the central stem of timber species (trees where diameter is measured at breast height [d.b.h.]) ω5.0 inches d.b.h., from a 1-foot stump to a minimum 4-inch top diameter, or to where the central stem breaks into limbs all of which are <4.0 inches in diameter. Calculated for live and standing dead trees. Does not include rotten and missing cull (volume loss due to rotten and missing cull defect has been deducted). This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for timber species with DIA <5.0 inches and for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.45,DIACHECK,Diameter check code ,NUMBER(2),"A code indicating the reliability of the diameter measurement.
Note: If both codes 1 and 2 apply, code 2 is used."
3.1.46,MORTYR,Mortality year,NUMBER(4),(core optional) The estimated year in which a remeasured tree died or was cut. Populated where PLOT.MANUAL ω1.0 and populated by some FIA work units where PLOT.MANUAL <1.0.
3.1.47,SALVCD,Salvable dead code ,NUMBER(2),A code indicating whether or not a standing or down dead tree is salvable based on regional standards. Contact the appropriate FIA work unit for information on how this code is assigned for a particular State (table 1-1).
3.1.48,UNCRCD,Uncompacted live crown ratio ,NUMBER(3),"(core optional Phase 2: ω5.0-inch live trees; core Phase 3: ω1.0-inch live trees) Percentage determined by dividing the live crown length by the actual tree length. When PLOT.MANUAL <3.0 the variable was a code, which was converted to the midpoint of the ranges represented by the codes, and is stored as a percentage."
3.1.49,CPOSCD,Crown position code ,NUMBER(2),(core on Phase 3 plots only) The relative position of each tree in relation to the overstory canopy.
3.1.50,CLIGHTCD,Crown light exposure code ,NUMBER(2),(core optional on Phase 2 plots; core on Phase 3 plots only) A code indicating the amount of light being received by the tree crown. Collected for all live trees at least 5 inches d.b.h./d.r.c. Trees with UNCRCD <35 have a maximum CLIGHTCD of 1.
3.1.51,CVIGORCD,Crown vigor code (sapling) ,NUMBER(2),(core optional on Phase 2 plots; core on Phase 3 plots only) A code indicating the vigor of sapling crowns. Collected for live trees 1.0-4.9 inches d.b.h./d.r.c.
3.1.52,CDENCD,Crown density code ,NUMBER(3),"(core optional on Phase 2 plots; core on Phase 3 plots only) A code indicating how dense the tree crown is, estimated in percent classes. Collected for all live trees ω5.0 inches d.b.h./d.r.c. Crown density is the amount of crown branches, foliage, and reproductive structures that blocks light visibility through the crown."
3.1.53,CDIEBKCD,Crown dieback code ,NUMBER(3),"(core optional on Phase 2 plots; core on Phase 3 plots only) A code indicating the amount of recent dead material in the upper and outer portion of the crown, estimated in percent classes. Collected for all live trees ω5.0 inches d.b.h./d.r.c. See CDENCD for codes."
3.1.54,TRANSCD,Foliage transparency code ,NUMBER(3),"(core optional on Phase 2 plots; core on Phase 3 plots only) A code indicating the amount of light penetrating the foliated portion of the crown, estimated in percent classes. Collected for all live trees ω5.0 inches d.b.h./d.r.c. See CDENCD for codes."
3.1.55,TREEHISTCD,Tree history code ,NUMBER(3),"Identifies the tree with detailed information as to whether the tree is live, dead, cut, removed due to land use change, etc. Contact the appropriate FIA work unit for the definitions (table 1-1). Only populated by certain FIA work units (SURVEY.RSCD = 23, 24, 33)."
3.1.56,BHAGE,Breast height age,NUMBER(4),"The age of a live tree derived from counting tree rings from an increment core sample extracted at a height of 4.5 feet above ground. Breast height age is collected for a subset of trees and only for trees when the diameter is measured at breast height (d.b.h.). This data item is used to calculate classification attributes such as stand age. For PNWRS, one tree is sampled for BHAGE for each species, within each crown class, and for each condition class present on a plot. Age of saplings (<5.0 inches d.b.h.) may be aged by counting branch whorls above 4.5 feet. No timber hardwood species other than red alder are bored for age. For RMRS, one tree is sampled for each species and broad diameter class present on a plot. Only populated by certain FIA work units (SURVEY.RSCD = 22, 26) and is left blank (null) when it is not collected."
3.1.57,TOTAGE,Total age ,NUMBER(4),"The age of a live tree derived either from counting tree rings from an
increment core sample extracted at the base of a tree where diameter is measured at root collar (d.r.c.), or for small saplings (1.0-2.9 inches d.b.h.) by counting all branch whorls, or by adding a species-dependent number of years to breast height age. Total age is collected for a subset of trees and is used to calculate classification attributes such as stand age. Only populated by certain FIA work units (SURVEY.RSCD = 22, 26) and is left blank (null) when it is not collected."
3.1.58,CULLDEAD,Dead cull,NUMBER(3),"The percentage of cubic-foot volume in the merchantable bole that is cull due to sound dead material. Recorded for trees ω5.0 inches d.b.h./d.r.c. The merchantable bole is from a 1-foot stump to a 4-inch top diameter outside bark (DOB). For woodland species (REF_SPECIES. WOODLAND = 'Y'), the merchantable portion is between the point of d.r.c. measurement to a 1.5-inch top DOB. For trees with broken tops, cull above the actual height (ACTUALHT) is not included. Only populated by certain FIA work units (SURVEY.RSCD = 22)."
3.1.59,CULLFORM,Form cull ,NUMBER(3),"The percentage of cubic-foot volume in the sawlog portion that is cull due to form defect. Recorded for live timber species of sawtimber size (9.0 inches d.b.h. minimum for softwoods, 11.0 inches d.b.h. minimum for hardwoods). The sawlog portion is from a 1-foot stump to a 7.0-inch top diameter outside bark (DOB) for softwoods and a 9.0-inch top DOB for hardwoods. For trees with broken tops, cull above the actual height
(ACTUALHT) is not included. This attribute is blank (null) for dead trees and woodland species (REF_SPECIES.WOODLAND = 'Y'). Only populated by certain FIA work units (SURVEY.RSCD = 22)."
3.1.60,CULLMSTOP,Missing top cull ,NUMBER(3),"The percentage of cubic-foot volume that is cull due to a missing
(broken) merchantable top. Recorded for trees ω5.0 inches d.b.h./d.r.c. This estimate does not include any portion of the missing top that is <4.0 inches diameter outside bark (DOB). Some broken-top trees have 0 percent missing top cull because no merchantable volume was lost. For woodland species (REF_SPECIES.WOODLAND = 'Y') with multiple stems, CULLMSTOP = 0 is recorded. Only populated by certain FIA work units (SURVEY.RSCD = 22)."
3.1.61,CULLBF,Board-foot cull ,NUMBER(3),"The percent of the gross board-foot volume that is cull due to rot or form.
Only populated by certain FIA work units (SURVEY.RSCD = 24)."
3.1.62,CULLCF,Cubic-foot cull ,NUMBER(3),"The percent of the gross cubic-foot volume that is cull due to rot or form.
Only populated by certain FIA work units (SURVEY.RSCD = 24)."
3.1.63,BFSND,Board-foot-cull soundness ,NUMBER(3),The percent of the board-foot cull that is sound (due to form). Only populated by certain FIA work units (SURVEY.RSCD = 24).
3.1.64,CFSND,Cubic-foot-cull soundness ,NUMBER(3),"The percent of the cubic-foot cull that is sound (due to form).
Only populated by certain FIA work units (SURVEY.RSCD = 24)."
3.1.65,SAWHT,Sawlog height ,NUMBER(2),"The length (height) of a tree, recorded to a 7-inch top (9-inch for hardwoods), where at least one 8-foot log, merchantable or not, is present. On broken topped trees, sawlog length is recorded to the point of the break. Only populated by certain FIA work units (SURVEY.RSCD = 24)."
3.1.66,BOLEHT,Bole height ,NUMBER(3),"The length between the 1-foot stump and the 4.0-inch top diameter of outside bark (DOB), where at least one 4-foot section is present. In periodic inventories, this attribute was measured in the field. For annual inventories, this attribute is a calculated, modeled value. Only populated by certain FIA work units (SURVEY.RSCD = 24)."
3.1.67,FORMCL,Form class ,NUMBER(1),A code used in calculating merchantable bole net volume. Recorded for all live hardwood trees tallied that are ω5.0 inch d.b.h./d.r.c. Also recorded for conifers ω5.0 inch d.b.h. in Region 5 National Forests (only collected when INVYR = 2001-2009). Only populated by certain FIA work units (SURVEY.RSCD = 26).
3.1.68,HTCALC,Current height calculated ,NUMBER(3),"If the height is unmeasurable (e.g., the tree is cut or dead), the height is calculated, in feet, and stored in this attribute. Only populated by certain FIA work units (SURVEY.RSCD = 33)."
3.1.69,HRDWD_CLUMP_CD,Hardwood clump code ,NUMBER(1),A code sequentially assigned to each hardwood clump within each species as they are found on a subplot. Up to 9 hardwood clumps can be identified and coded within each species on each subplot. A clump is defined as having 3 or more live stems originating from a common point on the root system. Woodland hardwood species are not evaluated for clump code. Clump code data are used to adjust stocking estimates since trees growing in clumps contribute less to stocking than do individual trees. Only populated by certain FIA work units (SURVEY.RSCD = 26).
3.1.70,SITREE,Calculated site index ,NUMBER(3),"Computed for every tree. The site index represents the average total length, in feet, that dominant and co-dominant trees in fully-stocked, even-aged stands (of the same species as this tree) will obtain at key ages (usually 25 or 50 years). Only computed by certain FIA work units (SURVEY.RSCD = 23)."
3.1.71,CREATED_BY,Created by,VARCHAR2(30),The employee who created the record. This attribute is intentionally left blank (null) in download files.
3.1.72,CREATED_DATE,Created date,DATE,The date the record was created.
3.1.73,CREATED_IN_INSTANCE,Created in instance,VARCHAR2(6),The database instance in which the record was created. Each computer system has a unique database instance code and this attribute stores that information to determine on which computer the record was created.
3.1.74,MODIFIED_BY,Modified by,VARCHAR2(30),The employee who modified the record. This field will be blank (null) if the data have not been modified since initial creation. This attribute is intentionally left blank in download files.
3.1.75,MODIFIED_DATE,Modified date,DATE,The date the record was last modified. This field will be blank (null) if the data have not been modified since initial creation.
3.1.76,MODIFIED_IN_INSTANCE,Modified in instance,VARCHAR2(6),The database instance in which the record was modified. This field will be blank (null) if the data have not been modified since initial creation.
3.1.77,MORTCD,Mortality code ,NUMBER(1),"(core optional) Used for a tree that was alive within past 5 years, but has
died. Not populated for standing dead trees <5.0 inches d.b.h./d.r.c. when PLOT.MANUAL <7.0."
3.1.78,HTDMP,Height to diameter measurement point,"NUMBER(3,1)","This value is equal to the actual length, to the nearest 0.1 foot, from ground to the point of diameter measurement. This attribute is populated for trees ω1.0 inch d.b.h., which were not measured for diameter directly at breast height (due to an abnormal swelling, branches, damage, or other at 4.5 feet above ground). This item is blank (null) for trees ω1.0 inch d.b.h., where diameter was measured directly at breast height (4.5 feet above ground) and for woodland species where diameter was measured at root collar. Core optional when PLOT.MANUAL <8.0; core when PLOT.MANUAL ω8.0."
3.1.79,ROUGHCULL,Rough cull,NUMBER(2),"(core optional) The percentage of cubic-foot volume in the merchantable bole that is cull due to sound dead material or tree form. Recorded for live trees ω5.0 inches d.b.h./d.r.c. The merchantable bole is from a 1-foot stump to a 4-inch top diameter outside bark (DOB). For woodland species (REF_SPECIES.WOODLAND = 'Y'), the merchantable portion is between the point of d.r.c. measurement to a 1.5-inch top DOB, and ROUGHCULL only includes sound dead material.
Note:
• For PLOT.MANUAL <2.0, ROUGHCULL only included sound dead material (i.e., it did not include cull due to tree form).
• When SURVEY.RSCD = 26,27, only populated for live conifers, red alder, and bigleaf maple."
3.1.80,MIST_CL_CD,Mistletoe class code,NUMBER(1),"(core optional) A rating of dwarf mistletoe infection. Recorded on all live conifer species except juniper. Using the Hawksworth (1979) six-class rating system, the live crown is divided into thirds, and each third is rated using the following scale: 0 is for no visible infection, 1 for <50 percent of branches infected, 2 for >50 percent of branches infected. The ratings for each third are summed together to yield the Hawksworth rating."
