"wo-v9-4_Aug2025_UG_FIADB_database_description_NFI.pdf						",,,
Name,Code,Description,Table_ID
TOPO_POSITION_PNW,3,Topographic coverage: Side hill - upper 1/3. Common shape of slope: Convex.,ENTIRE_PLOT
TOPO_POSITION_PNW,4,Topographic coverage: Side hill - middle 1/3. Common shape of slope: No rounding.,ENTIRE_PLOT
TOPO_POSITION_PNW,5,Topographic coverage: Side hill - lower 1/3. Common shape of slope: Concave.,ENTIRE_PLOT
TOPO_POSITION_PNW,6,Topographic coverage: Canyon bottom less than 660 feet wide. Common shape of slope: Concave.,ENTIRE_PLOT
TOPO_POSITION_PNW,7,"Topographic coverage: Bench, terrace or dry flat. Common shape of slope: Flat.",ENTIRE_PLOT
TOPO_POSITION_PNW,8,Topographic coverage: Broad alluvial flat over 660 feet wide. Common shape of slope: Flat.,ENTIRE_PLOT
TOPO_POSITION_PNW,9,Topographic coverage: Swamp or wet flat. Common shape of slope: Flat.,ENTIRE_PLOT
NF_SAMPLING_STATUS_CD,0,Nonforest plots / conditions are not inventoried.,ENTIRE_PLOT
NF_SAMPLING_STATUS_CD,1,Nonforest plots / conditions are inventoried.,ENTIRE_PLOT
NF_PLOT_STATUS_CD,1,Sampled - at least one accessible nonforest land condition present on the plot.,ENTIRE_PLOT
NF_PLOT_STATUS_CD,2,"Sampled - no nonforest land condition present on plot (i.e., plot is either census and/or noncensus water).",ENTIRE_PLOT
NF_PLOT_STATUS_CD,3,Nonsampled nonforest.,ENTIRE_PLOT
NF_PLOT_NONSAMPLE_REASN_CD,2,"Denied access - Access to the entire plot is denied by the legal owner, or by the owner of the only reasonable route to the plot. Because a denied-access plot can become accessible in the future, it remains in the sample and is re-examined at the next occasion to determine if access is available.",ENTIRE_PLOT
NF_PLOT_NONSAMPLE_REASN_CD,3,"Hazardous - Entire plot cannot be accessed because of a hazard or danger, for example cliffs, quarries, strip mines, illegal substance plantations, high water, etc. Although most hazards will not change over time, a hazardous plot remains in the sample and is re-examined at the next occasion to determine if the hazard is still present.",ENTIRE_PLOT
NF_PLOT_NONSAMPLE_REASN_CD,8,Skipped visit - Entire plot skipped. Used for plots that are not completed prior to the time a panel is finished and submitted for processing. This code is for office use only.,ENTIRE_PLOT
NF_PLOT_NONSAMPLE_REASN_CD,9,Dropped intensified plot - Intensified plot dropped due to a change in grid density. This code used only by units engaged in intensification. This code is for office use only.,ENTIRE_PLOT
NF_PLOT_NONSAMPLE_REASN_CD,10,Other - Entire plot not sampled due to a reason other than one of the specific reasons already listed.,ENTIRE_PLOT
P2VEG_SAMPLING_STATUS_CD,0,Plot is not part of the P2 vegetation sample.,ENTIRE_PLOT
P2VEG_SAMPLING_STATUS_CD,1,P2 vegetation data are sampled only on accessible forest land conditions.,ENTIRE_PLOT
P2VEG_SAMPLING_STATUS_CD,2,P2 vegetation data are sampled on all accessible land conditions.,ENTIRE_PLOT
P2VEG_SAMPLING_LEVEL_DETAIL_,1,"Data collected for vegetation structure only; total aerial canopy cover and canopy cover by layer for tally tree species (all sizes), non-tally tree species (all sizes), shrubs/subshrubs/woody vines, forbs, and graminoids.",ENTIRE_PLOT
P2VEG_SAMPLING_LEVEL_DETAIL_,2,"Vegetation structure data (LOD = 1) plus understory species composition data collected including up to four most abundant species per GROWTH_HABIT_CD per subplot of: seedlings and saplings of any tree species (tally or non-tally) <5 inches d.b.h. (d.r.c. for woodland species), shrubs/subshrubs/woody vines, forbs, and graminoids.",ENTIRE_PLOT
P2VEG_SAMPLING_LEVEL_DETAIL_,3,"Vegetation structure data, understory species composition data (LOD = 2), plus up to four most abundant tree species (tally or non-tally) ω5 inches d.b.h. (d.r.c for woodland species) per GROWTH_HABIT_CD per subplot.",ENTIRE_PLOT
INVASIVE_SAMPLING_STATUS_CD,0,Plot is not part of invasive plant sample.,ENTIRE_PLOT
INVASIVE_SAMPLING_STATUS_CD,1,Invasive plant data are sampled only on accessible forest land conditions.,ENTIRE_PLOT
INVASIVE_SAMPLING_STATUS_CD,2,Invasive plant data are sampled on all accessible land conditions.,ENTIRE_PLOT
INVASIVE_SPECIMEN_RULE_CD,0,FIA work unit does not require specimen collection for invasive plants.,ENTIRE_PLOT
INVASIVE_SPECIMEN_RULE_CD,1,FIA work unit requires specimen collection for invasive plants.,ENTIRE_PLOT
SUBPANEL,0,Subpaneling not used.,ENTIRE_PLOT
SUBPANEL,1,Subpanel1.,ENTIRE_PLOT
SUBPANEL,2,Subpanel2.,ENTIRE_PLOT
CONDCHNGCD_RMRS,0,There have been no condition class changes from the previous inventory. Copy condition class defining (mapping) variables from computer-generated printouts included in the plot packet.,ENTIRE_PLOT
CONDCHNGCD_RMRS,1,"True change has taken place since the last inventory. At least one condition class defining (mapping) variable has changed on any condition. Include changes in the condition status (COND_STATUS_CD) such as: previous COND_STATUS_CD was accessible forest land, now some portion or all of the condition is not accessible forest land (condition is now nonforest land, noncensus water, census water, denied access, area too hazardous to visit, area that is not in the sample, or not sampled/out of time), or vice versa.",ENTIRE_PLOT
CONDCHNGCD_RMRS,2,There are no true condition changes. The previous crew mapped or failed to map a condition(s) in obvious error.,ENTIRE_PLOT
CONDCHNGCD_RMRS,3,There are no true condition changes. Change is due to procedural or definition changes.,ENTIRE_PLOT
FUTFORCD_RMRS,0,"No, there is no chance this plot will meet the forest definition at the next cycle. It meets one or more of the following criteria:
• Located more than ½ mile from the nearest forest land, and there are no trees
present on or near the location. No disturbance evident (e.g., large fires, clearcut, etc.).
• Located in a large reservoir.
• Located in a developed urban area (on a house, building, parking lot), but the plot does not fall in a park, undeveloped yard, etc. that may revert to natural forest.
• Located on barren rock, sand dunes, etc.",ENTIRE_PLOT
FUTFORCD_RMRS,1,"Yes, there is some chance that this plot could become forested in the next cycle; there
are trees present, or forest land is present within ½ mile.",ENTIRE_PLOT
FUTFORCD_RMRS,2,"There are no forest tree species (tree species codes) on the site, but other woody species not currently defined as forest species occupy the site (such as salt cedar, palo verde, ironwood, big sage).",ENTIRE_PLOT
PLOT_SEASON_NERS,1,Winter.,ENTIRE_PLOT
PLOT_SEASON_NERS,2,Summer.,ENTIRE_PLOT
PLOT_SEASON_NERS,3,Anytime.,ENTIRE_PLOT
PREV_MICROPLOT_LOC_RMRS,CENTER,Microplot center located at subplot center.,ENTIRE_PLOT
PREV_MICROPLOT_LOC_RMRS,OFFSET,"Microplot center offset from subplot center. For example, microplot center located 12
feet horizontal at 90 degrees from subplot center.",ENTIRE_PLOT
PREV_PLOT_STATUS_CD_RMRS,1,Sampled - at least one accessible forest land condition present on plot.,ENTIRE_PLOT
PREV_PLOT_STATUS_CD_RMRS,2,Sampled - no accessible forest land condition present on plot.,ENTIRE_PLOT
PREV_PLOT_STATUS_CD_RMRS,3,Nonsampled.,ENTIRE_PLOT
REUSECD1,0,No evidence of recreation use.,ENTIRE_PLOT
REUSECD1,1,"Motor vehicle (four wheel drive, ATV, motorcycle).",ENTIRE_PLOT
REUSECD1,2,Horse riding.,ENTIRE_PLOT
REUSECD1,3,Camping.,ENTIRE_PLOT
REUSECD1,4,Hiking.,ENTIRE_PLOT
REUSECD1,5,Hunting/shooting.,ENTIRE_PLOT
REUSECD1,6,Fishing.,ENTIRE_PLOT
REUSECD1,7,Boating - physical evidence such as launch sites or docks.,ENTIRE_PLOT
REUSECD1,9,"Other - recreation use where evidence is present, such as human
litter, but purpose is not clear or does not fit into above categories.",ENTIRE_PLOT
GRND_LYR_SAMPLING_STATUS_C,0,Plot is not part of the ground layer sample.,ENTIRE_PLOT
GRND_LYR_SAMPLING_STATUS_C,1,Ground layer data are sampled only on accessible forest land conditions.,ENTIRE_PLOT
GRND_LYR_SAMPLING_STATUS_C,2,Ground layer data are sampled on all accessible land conditions.,ENTIRE_PLOT
GRND_LYR_SAMPLING_METHOD_C,1,Ground layer microquadrats sampled at 4 locations per transect.,ENTIRE_PLOT
GRND_LYR_SAMPLING_METHOD_C,2,Ground layer microquadrats sampled at 2 locations per transect.,ENTIRE_PLOT
P3_OZONE_IND,Y,"Yes, the survey is for a P3 ozone inventory.",SURVEY_TABLE
P3_OZONE_IND,N,"No, the survey is not for a P3 ozone inventory.",SURVEY_TABLE
RSCD,22,Rocky Mountain Research Station (RMRS).,SURVEY_TABLE
RSCD,23,North Central Research Station (NCRS).,SURVEY_TABLE
RSCD,24,Northeastern Research Station (NERS).,SURVEY_TABLE
RSCD,26,Pacific Northwest Research Station (PNWRS).,SURVEY_TABLE
RSCD,27,Pacific Northwest Research Station (PNWRS-AK).,SURVEY_TABLE
RSCD,33,Southern Research Station (SRS).,SURVEY_TABLE
ANN_INVENTORY,Y,"Yes, the inventory is annual.",SURVEY_TABLE
ANN_INVENTORY,N,"No, the inventory is not annual.",SURVEY_TABLE
SUBP_STATUS_CD,1,Sampled - at least one accessible forest land condition present on subplot.,SUBPLOT_TABLE
SUBP_STATUS_CD,2,Sampled - no accessible forest land condition present on subplot.,SUBPLOT_TABLE
SUBP_STATUS_CD,3,Nonsampled - possibility of forest land.,SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,1,Outside U.S. boundary - Entire subplot (or macroplot) is outside of the U.S. border.,SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,2,"Denied access area - Access to the entire subplot (or macroplot) is denied by the legal owner, or by the owner of the only reasonable route to the subplot (or macroplot).",SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,3,"Hazardous situation - Entire subplot (or macroplot) cannot be accessed because of a
hazard or danger, for example cliffs, quarries, strip mines, illegal substance
plantations, high water, etc.",SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,4,"Time limitation - Entire subplot (or macroplot) cannot be sampled due to a time restriction. This code is reserved for areas with limited access, and in situations where it is imperative for the crew to leave before the plot can be completed (e.g., scheduled helicopter rendezvous).",SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,5,Lost data - The plot data file was discovered to be corrupt after a panel was completed and submitted for processing. This code is assigned to entire plots or full subplots that could not be processed.,SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,6,Lost plot - Entire plot cannot be found. Used for the four subplots that are required for this plot.,SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,7,"Wrong location - Previous plot can be found, but its placement is beyond the tolerance limits for plot location. Used for the four subplots that are required for this plot.",SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,8,Skipped visit - Entire plot skipped. Used for plots that are not completed prior to the time a panel is finished and submitted for processing. Used for the four subplots that are required for this plot. This code is for office use only.,SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,9,Dropped intensified plot - Intensified plot dropped due to a change in grid density. Used for the four subplots that are required for this plot. This code used only by units engaged in intensification. This code is for office use only.,SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,10,Other - Entire subplot (or macroplot) not sampled due to a reason other than one of the specific reasons already listed.,SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,11,Ocean - Subplot/macroplot falls in ocean water below mean high tide line.,SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,0,No evidence of root disease visible within 50 feet of the 58.9 foot macroplot.,SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,1,"Root disease present within 50 feet of the macroplot, but no evidence of disease on the macroplot.",SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,2,"Minor evidence of root disease on the macroplot, such as suppressed tree killed by root disease, or a minor part of the overstory showing symptoms of infection. Little or no detectable reduction in canopy closure or volume.",SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,3,"Canopy reduction evident, up to 20 percent; usually as a result of death of 1 codominant tree on an otherwise fully stocked site. In absence of mortality, numerous trees showing symptoms of root disease infection.",SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,4,Canopy reduction at least 20 percent; up to 30 percent as a result of root disease mortality. Snags and downed trees removed from canopy by disease as well as live trees with advance symptoms of disease contribute to impact.,SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,5,Canopy reduction 30-50 percent as a result of root disease. At least half of the ground area of macroplot considered infested with evidence of root disease-killed trees. Macroplots representing mature stands with half of their volume in root disease-tolerant species usually do not go much above severity 5 because of the ameliorating effect of the disease-tolerant trees.,SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,6,50-75 percent reduction in canopy with most of the ground area considered infested as evidenced by symptomatic trees. Much of the canopy variation in this category is generally a result of root disease-tolerant species occupying infested ground.,SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,7,At least 75 percent canopy reduction. Macroplots that reach this severity level usually are occupied by only the most susceptible species. There are very few of the original overstory trees remaining although infested ground is often densely stocked with regeneration of susceptible species.,SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,8,The entire macroplot falls within a definite root disease pocket with only one or very few susceptible overstory trees present.,SUBPLOT_TABLE
POINT_NONSAMPLE_REASN_CD,9,The entire macroplot falls within a definite root disease pocket with no overstory trees of the susceptible species present.,SUBPLOT_TABLE
NF_SUBP_STATUS_CD,1,"Sampled - at least one accessible nonforest land condition present on the
subplot/macroplot.",SUBPLOT_TABLE
NF_SUBP_STATUS_CD,2,"Sampled - no nonforest land condition present on subplot/macroplot (i.e., subplot/macroplot is either census and/or noncensus water).",SUBPLOT_TABLE
NF_SUBP_STATUS_CD,3,Nonsampled nonforest.,SUBPLOT_TABLE
NF_SUBP_NONSAMPLE_REASN_CD,2,"Denied access - A subplot/macroplot to which access is denied by the legal owner, or
to which an owner of the only reasonable route to the plot denies access. Because a
denied-access subplot/macroplot can become accessible in the future, it remains in
the sample and is re-examined at the next occasion to determine if access is
available.",SUBPLOT_TABLE
NF_SUBP_NONSAMPLE_REASN_CD,3,"Hazardous situation - A subplot/macroplot that cannot be accessed because of a hazard or danger, for example cliffs, quarries, strip mines, illegal substance plantations, temporary high water, etc. Although the hazard is not likely to change over time, a hazardous condition remains in the sample and is re-examined at the next occasion to determine if the hazard is still present.",SUBPLOT_TABLE
NF_SUBP_NONSAMPLE_REASN_CD,4,"Time limitation - This code applies to a full subplot/macroplot that cannot be sampled due to a time restriction. This code is reserved for areas with limited access, and in situations where it is imperative for the crew to leave before the plot can be completed (e.g., scheduled helicopter rendezvous).",SUBPLOT_TABLE
NF_SUBP_NONSAMPLE_REASN_CD,10,Other - This code is used whenever a subplot/macroplot is not sampled due to a reason other than one of the specific reasons already listed.,SUBPLOT_TABLE
P2VEG_SUBP_STATUS_CD,1,Subplot sampled for P2 vegetation.,SUBPLOT_TABLE
P2VEG_SUBP_STATUS_CD,2,Subplot not sampled for P2 vegetation.,SUBPLOT_TABLE
P2VEG_SUBP_NONSAMPLE_REASN_CD,4,Time limitation.,SUBPLOT_TABLE
P2VEG_SUBP_NONSAMPLE_REASN_CD,5,Lost Data (for office use only).,SUBPLOT_TABLE
P2VEG_SUBP_NONSAMPLE_REASN_CD,10,"Other (for example, snow or water covering vegetation that is supposed to be sampled).",SUBPLOT_TABLE
INVASIVE_SUBP_STATUS_CD,1,"Subplot sampled, invasive plants present.",SUBPLOT_TABLE
INVASIVE_SUBP_STATUS_CD,2,"Subplot sampled, no invasive plants present.",SUBPLOT_TABLE
INVASIVE_SUBP_STATUS_CD,3,Subplot not sampled for invasive plants.,SUBPLOT_TABLE
INVASIVE_NONSAMPLE_REASN_CD,4,Time limitation.,SUBPLOT_TABLE
INVASIVE_NONSAMPLE_REASN_CD,5,Lost Data (for office use only).,SUBPLOT_TABLE
INVASIVE_NONSAMPLE_REASN_CD,10,"Other (for example, snow or water covering vegetation that is supposed to be sampled).",SUBPLOT_TABLE
CROWN_CLOSURE_ME_NERS,0,0-25%,SUBPLOT_TABLE
CROWN_CLOSURE_ME_NERS,1,26-50%,SUBPLOT_TABLE
CROWN_CLOSURE_ME_NERS,2,51-75%,SUBPLOT_TABLE
CROWN_CLOSURE_ME_NERS,3,>75%,SUBPLOT_TABLE
PREV_STATUSCD_RMRS,1,Sampled - at least one accessible forest land condition present on subplot.,SUBPLOT_TABLE
PREV_STATUSCD_RMRS,2,Sampled - no accessible forest land condition present on subplot.,SUBPLOT_TABLE
PREV_STATUSCD_RMRS,3,Nonsampled - possibility of forest land.,SUBPLOT_TABLE
ROOTSEVCD_RMRS,0,No evidence of root disease visible within 50 feet of the subplot perimeter.,SUBPLOT_TABLE
ROOTSEVCD_RMRS,1,"Root disease present within 50 feet of the subplot perimeter, but no evidence of root disease on subplot.",SUBPLOT_TABLE
ROOTSEVCD_RMRS,2,"Minor evidence of root disease evident on the subplot - suppressed tree killed by root disease, or minor part of overstory showing symptoms of infection. Little or no reduction in canopy closure or volume.",SUBPLOT_TABLE
ROOTSEVCD_RMRS,3,"Up to 20 percent canopy reduction evident - as a result of the death of one codominant tree on an otherwise fully stocked site. In the absence of mortality, numerous trees showing symptoms of root disease infection.",SUBPLOT_TABLE
ROOTSEVCD_RMRS,4,"20 to 30 percent canopy reduction - as a result of root disease-caused mortality. The presence of snags and downed dead trees as a result of disease, leaving gaps in the tree canopy, as well as live trees with advanced symptoms of disease.",SUBPLOT_TABLE
ROOTSEVCD_RMRS,5,"30 to 50 percent canopy reduction - as a result of root disease. Almost half of
ground area of subplot considered infested with evidence of root disease-killed
trees. Note: Subplots representing mature stands with half of their volume in root
disease-tolerant species usually don't go much above severity 5 because of the
ameliorating effect of the disease tolerant trees.",SUBPLOT_TABLE
ROOTSEVCD_RMRS,6,50 to 75 percent canopy reduction -- most of the ground area considered infested as evidenced by symptomatic trees. Much of the canopy variation in this category results from disease-tolerant species occupying infested ground.,SUBPLOT_TABLE
ROOTSEVCD_RMRS,7,"75 percent or more canopy reduction - subplots with this severity level usually were occupied by only the most susceptible species. Very few of the original overstory trees remain, although the infested ground area is often densely stocked with regeneration of the susceptible species.",SUBPLOT_TABLE
ROOTSEVCD_RMRS,8,Entire subplot falls within a definite root disease patch with only one or very few susceptible overstory trees present (standing/live) within the canopy.,SUBPLOT_TABLE
ROOTSEVCD_RMRS,9,Entire subplot falls within a definite root disease patch with no overstory trees of the susceptible species present within the canopy.,SUBPLOT_TABLE
SUBP,2,North subplot.,SUBP_SOIL_SAMPLE_LOC
SUBP,3,Southeast subplot.,SUBP_SOIL_SAMPLE_LOC
SUBP,4,Southwest subplot.,SUBP_SOIL_SAMPLE_LOC
SOILS_SAMPLE_METHOD_CD,1,P3 soils sample method.,SUBP_SOIL_SAMPLE_LOC
SOILS_SAMPLE_METHOD_CD,2,Interior Alaska pilot soils sample method.,SUBP_SOIL_SAMPLE_LOC
SOILS_SAMPLE_METHOD_CD,3,Interior Alaska soils sample method.,SUBP_SOIL_SAMPLE_LOC
SOILS_SAMPLE_METHOD_CD,4,Hawaii soils sample method.,SUBP_SOIL_SAMPLE_LOC
SOILS_SAMPLE_STATUS_CD (When SOILS_SAMPLE_METHOD_CD = 1),1,Sampled: forest that has been identified as a condition on the plot.,SUBP_SOIL_SAMPLE_LOC
SOILS_SAMPLE_STATUS_CD (When SOILS_SAMPLE_METHOD_CD = 1),2,Not sampled: non-forest.,SUBP_SOIL_SAMPLE_LOC
SOILS_SAMPLE_STATUS_CD (When SOILS_SAMPLE_METHOD_CD = 1),3,Not sampled forest condition: too rocky to sample.,SUBP_SOIL_SAMPLE_LOC
SOILS_SAMPLE_STATUS_CD (When SOILS_SAMPLE_METHOD_CD = 1),4,Not sampled forest condition: water or boggy.,SUBP_SOIL_SAMPLE_LOC
SOILS_SAMPLE_STATUS_CD (When SOILS_SAMPLE_METHOD_CD = 1),5,Not sampled forest condition: access denied.,SUBP_SOIL_SAMPLE_LOC
SOILS_SAMPLE_STATUS_CD (When SOILS_SAMPLE_METHOD_CD = 1),6,Not sampled forest condition: too dangerous to sample.,SUBP_SOIL_SAMPLE_LOC
SOILS_SAMPLE_STATUS_CD (When SOILS_SAMPLE_METHOD_CD = 1),7,Not sampled forest condition: obstruction in sampling area.,SUBP_SOIL_SAMPLE_LOC
SOILS_SAMPLE_STATUS_CD (When SOILS_SAMPLE_METHOD_CD = 1),8,Not sampled forest condition: broken or lost equipment.,SUBP_SOIL_SAMPLE_LOC
SOILS_SAMPLE_STATUS_CD (When SOILS_SAMPLE_METHOD_CD = 1),9,Not sampled forest condition: other.,SUBP_SOIL_SAMPLE_LOC
SOILS_SAMPLE_STATUS_CD (When SOILS_SAMPLE_METHOD_CD = 1),11,Sampled: forest that has NOT been identified as a condition on the plot.,SUBP_SOIL_SAMPLE_LOC
"SOILS_SAMPLE_STATUS_CD (When SOILS_SAMPLE_METHOD_CD = 2, 3, 4)",1,Sampled.,SUBP_SOIL_SAMPLE_LOC
"SOILS_SAMPLE_STATUS_CD (When SOILS_SAMPLE_METHOD_CD = 2, 3, 4)",2,Not sampled: standing water.,SUBP_SOIL_SAMPLE_LOC
"SOILS_SAMPLE_STATUS_CD (When SOILS_SAMPLE_METHOD_CD = 2, 3, 4)",3,Not sampled: access denied.,SUBP_SOIL_SAMPLE_LOC
"SOILS_SAMPLE_STATUS_CD (When SOILS_SAMPLE_METHOD_CD = 2, 3, 4)",4,Not sampled: hazardous.,SUBP_SOIL_SAMPLE_LOC
"SOILS_SAMPLE_STATUS_CD (When SOILS_SAMPLE_METHOD_CD = 2, 3, 4)",5,Not sampled: other.,SUBP_SOIL_SAMPLE_LOC
CORE_BOTTOM_CD,1,Identifiable plant parts.,SUBP_SOIL_SAMPLE_LOC
CORE_BOTTOM_CD,2,Unidentifiable plant parts.,SUBP_SOIL_SAMPLE_LOC
CORE_BOTTOM_CD,5,Mineral soil.,SUBP_SOIL_SAMPLE_LOC
CORE_BOTTOM_CD,6,Unknown material.,SUBP_SOIL_SAMPLE_LOC
RESTRICTION_DEPTH_CD_1,1,Frozen soil.,SUBP_SOIL_SAMPLE_LOC
