table_id;column_id;column_number;of_variable;is_type;with_entry
lab_calculations_including_estimates_and_default_values;pores_filled_third_bar_ws;58;NA;description;Filled pores at 1/3 bar tension is the volumetric percent of water filled pores at 1/3 bar water tension, reported on a whole soil base.
lab_calculations_including_estimates_and_default_values;prep_code;3;NA;foreign_key;--
lab_calculations_including_estimates_and_default_values;prep_code;3;NA;description;A character string containing the Soil Survey Laboratory code used to identify the type of sample preparation.
lab_calculations_including_estimates_and_default_values;result_source_key;2;NA;description;Foreign key to the pedon or layer table depending on the result_type
lab_calculations_including_estimates_and_default_values;result_source_key;2;NA;note;*Equal to the layer_key for all rows. -KTB 20240621
lab_calculations_including_estimates_and_default_values;bulk_density_3rd_bar_for_calc;4;NA;description;bulk_density_3rd_bar_for_calc
lab_calculations_including_estimates_and_default_values;bulk_density_3rd_bar_source;5;NA;description;bulk_density_3rd_bar_source
lab_calculations_including_estimates_and_default_values;bulk_density_oven_dry_ws;9;whole_soil_bulk_density;description;Bulk density, whole soil, oven dry is the weight per unit volume of the whole soil, with volume measured on oven dry natural fabric (clods). It is reported as grams per cubic centimeter on a whole soil base.
lab_calculations_including_estimates_and_default_values;bulk_density_oven_dry_ws;9;whole_soil_bulk_density;value;--
lab_calculations_including_estimates_and_default_values;bulk_density_oven_dry_ws;9;whole_soil_bulk_density;unit;grams per cubic centimeter of whole soil
lab_calculations_including_estimates_and_default_values;bulk_density_oven_dry_ws;9;whole_soil_bulk_density;method;Bulk density, whole soil, oven dry is the weight per unit volume of the whole soil, with volume measured on oven dry natural fabric (clods). It is reported as grams per cubic centimeter on a whole soil base.
lab_calculations_including_estimates_and_default_values;bulk_density_saturated_whole_soil;10;NA;description;The bulk density of saturated whole soil is calculated from the bulk density and water content at 1/3 bar water tension, and the amount of water needed to saturate the 1/3 bar soil. It is reported as grams per cubic centimeter on a whole soil base.
lab_calculations_including_estimates_and_default_values;bulk_density_third_bar_ws;8;NA;description;Bulk density, whole soil, 1/3 bar is the weight per unit volume of the soil, with volume being measured after equilibration at 1/3 bar water tension. It is reported as grams per cubic centimeter on a whole soil base.
lab_calculations_including_estimates_and_default_values;bulk_density_whole_soil_moist;36;NA;description;Bulk density, whole soil, moist is the weight per unit volume of the whole soil, with volume measured at field (sampling) moisture in clods. It is reported as grams per cubic centimeter, whole soil base.
lab_calculations_including_estimates_and_default_values;void_ratio_third_bar_lt_2_mm;54;NA;description;The void ratio at 1/3 bar, <2 mm is the calculated ratio of pore volume to solids volume at 1/3 bar water tension, reported as a ratio on a <2 mm base.
lab_calculations_including_estimates_and_default_values;void_ratio_third_bar_whole_soil;55;NA;description;The void ratio at 1/3 bar, whole soil is the calculated ratio of pore volume to solids volume at 1/3 bar water tension, reported as a ratio on a whole soil base.
lab_calculations_including_estimates_and_default_values;vol_pct_usda_silt_third_bar_ws;13;NA;description;Particles with 0.002 to 0.05 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base.
lab_calculations_including_estimates_and_default_values;volume_pct_2_to_5_mm_third_ws;67;NA;description;Particles with 2 to 5 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base.
lab_calculations_including_estimates_and_default_values;volume_pct_2_to_75_mm_third_ws;64;NA;description;Particles with 2 to 75 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base.
lab_calculations_including_estimates_and_default_values;volume_pct_20_to_75_mm_third_ws;65;NA;description;Particles with 20 to 75 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base.
lab_calculations_including_estimates_and_default_values;volume_pct_5_to_20_mm_third_ws;66;NA;description;Particles with 5 to 20 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base.
lab_calculations_including_estimates_and_default_values;volume_pct_75_to_250_mm_third_ws;63;NA;description;Particles with 75 to 250 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base.
lab_calculations_including_estimates_and_default_values;volume_pct_gt_2_mm_thirdbar_ws;61;NA;description;volume_pct_gt_2_mm_thirdbarws
lab_calculations_including_estimates_and_default_values;volume_pct_gt_250_mm_thirdbar_ws;62;NA;description;Particles with >250 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base.
lab_calculations_including_estimates_and_default_values;volume_pct_lt_2_mm_third_ws;11;NA;description;Particles with <2 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base.
lab_calculations_including_estimates_and_default_values;volume_pct_usda_clay_ws;14;NA;description;Particles with <0.002 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base.
lab_calculations_including_estimates_and_default_values;volume_pct_usda_sand_ws;12;NA;description;Particles with 0.05 to 2.0 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base.
lab_calculations_including_estimates_and_default_values;water_retention_difference_ws;56;NA;description;The volume of water released when the soil is dried from 1/3 bar to 15 bars of water tension. It is reported on a whole soil base as centimeters of water per centimeter depth of soil, but the value is constant for other units.
lab_calculations_including_estimates_and_default_values;weight_pct_2_to_5_mm_ws;59;NA;description;The gravimetric percentage of 2 to 5 mm diameter particles is reported on a whole soil base.
lab_calculations_including_estimates_and_default_values;weight_pct_2_to_75_mm_ws;40;NA;description;The gravimetric percentage of 2 to 75 mm diameter particles is reported on a whole soil base.
lab_calculations_including_estimates_and_default_values;weight_pct_20_to_75_mm_ws;41;NA;description;The gravimetric percentage of 20 to 75 mm diameter particles is reported on a whole soil base.
lab_calculations_including_estimates_and_default_values;weight_pct_5_to_20_mm_ws;42;NA;description;The gravimetric percentage of 5 to 20 mm diameter particles is reported on a whole soil base.
lab_calculations_including_estimates_and_default_values;weight_pct_75_to_250_mm_ws;39;NA;description;The gravimetric percentage of 75 to 250 mm diameter particles is reported on a whole soil base.
lab_calculations_including_estimates_and_default_values;weight_pct_less_than_2_mm_ws;60;NA;description;The weight fraction of particles with <2 mm diameter is reported as a gravimetric percent on a whole soil base.
lab_calculations_including_estimates_and_default_values;weight_percent_gt_2_mm_ws;37;coarse_fraction;description;The weight fraction of particles with >2 mm diameter is reported as a gravimetric percent on a whole soil base.
lab_calculations_including_estimates_and_default_values;weight_percent_gt_2_mm_ws;37;coarse_fraction;value;--
lab_calculations_including_estimates_and_default_values;weight_percent_gt_2_mm_ws;37;coarse_fraction;unit;mass per mass whole soil
lab_calculations_including_estimates_and_default_values;weight_percent_gt_2_mm_ws;37;coarse_fraction;method;The weight fraction of particles with >2 mm diameter is reported as a gravimetric percent on a whole soil base.
lab_calculations_including_estimates_and_default_values;weight_percent_gt_250_mm_ws;38;NA;description;The gravimetric percentage of >250 mm diameter particles is reported on a whole soil base.
lab_calculations_including_estimates_and_default_values;wf_0175;34;NA;description;The gravimetric percentage of 0.1 to 75 mm diameter particles is reported on a = 15%. Algorithm: (100. - wf_275) * ((sand_vc_psa + sand_m_psa + sand_f_psa + sand_c_psa) / 100.) + wf_275
lab_calculations_including_estimates_and_default_values;wf_2075;33;NA;description;Volume of fragments 20 to 75 mm on a whole soil base.
lab_calculations_including_estimates_and_default_values;wf_25;31;NA;description;Volume of fragments 2 to 5 mm on a Whole_Soil_Base
lab_calculations_including_estimates_and_default_values;wf_520;32;NA;description;Volume of fragments with a diameter of 2 to 5 mm on a Whole Soil Base
lab_calculations_including_estimates_and_default_values;wt_pct_2_20_mm_clay_free_ws;19;NA;description;The gravimetric percent of particles with 2.0-20 mm diameter, reported on a clay free whole soil base.
lab_calculations_including_estimates_and_default_values;wt_pct_2_75_mm_clay_free_ws;18;NA;description;The gravimetric percent of particles with 2.0-75 mm diameter, reported on a clay free whole soil base.
lab_calculations_including_estimates_and_default_values;wt_pct_clay_clay_free_2mm_base;30;NA;description;The gravimetric percent of particles with <0.002 mm diameter (total clay), reported on a clay free <2 mm base.
lab_calculations_including_estimates_and_default_values;wt_pct_cs_clay_free_lt2mmbase;24;NA;description;The gravimetric percent of particles with 0.5-1.0 mm diameter (coarse sand), reported on a clay free <2 mm base.
lab_calculations_including_estimates_and_default_values;wt_pct_csi_clay_free_lt2mmbase;28;NA;description;The gravimetric percent of particles with 0.02-0.05 mm diameter (coarse silt), reported on a clay free <2 mm base.
lab_calculations_including_estimates_and_default_values;wt_pct_fs_clay_free_lt2mmbase;26;NA;description;The gravimetric percent of particles with 0.10-0.25 mm diameter (fine sand), reported on a clay free <2 mm base.
lab_calculations_including_estimates_and_default_values;wt_pct_fsi_clay_free_lt2mmbase;29;NA;description;The gravimetric percent of particles with 0.002-0.02 mm diameter (fine silt), reported on a clay free <2 mm base.
lab_calculations_including_estimates_and_default_values;wt_pct_gt_2_mm_clay_free_ws;17;NA;description;The gravimetric percent of particles with >2.0 mm diameter, reported on a clay free whole soil base.
lab_calculations_including_estimates_and_default_values;wt_pct_ms_clay_free_lt2mmbase;25;NA;description;The gravimetric percent of particles with 0.25-0.50 mm diameter (medium sand), reported on a clay free <2 mm base.
lab_calculations_including_estimates_and_default_values;wt_pct_sand_clay_free_ws;20;NA;description;The gravimetric percent of particles with 0.05-2.0 mm diameter, reported on a clay free whole soil base.
lab_calculations_including_estimates_and_default_values;wt_pct_silt_clay_free_ws;21;NA;description;The gravimetric percent of particles with 0.002-0.05 mm diameter, reported on a clay free whole soil base.
lab_calculations_including_estimates_and_default_values;wt_pct_tot_clay_clay_free_ws;22;NA;description;The gravimetric percent of particles with <0.002 mm diameter (total clay), reported on a clay free whole soil base.
lab_calculations_including_estimates_and_default_values;wt_pct_vcs_clay_free_lt2mmbase;23;NA;description;The gravimetric percent of particles with 1.0-2.0 mm diameter (very coarse sand), reported on a clay free <2 mm base.
lab_calculations_including_estimates_and_default_values;wt_pct_vfs_clay_free_lt2mmbase;27;NA;description;The gravimetric percent of particles with 0.05-0.10 mm diameter (very fine sand), reported on a clay free <2 mm base.
lab_calculations_including_estimates_and_default_values;cumulative_curve_less_than_1mm;80;NA;description;The cumulative gravimetric percentage of particles with <1.0 mm diameter, reported on a <3 inch base. (< 75 mm)
lab_calculations_including_estimates_and_default_values;cumulative_curve_lt_1_fourth_mm;43;NA;description;The cumulative gravimetric percentage of particles with <0.25 mm diameter, reported on a <3 inch base.
lab_calculations_including_estimates_and_default_values;cumulative_curve_lt_1_half_mm;81;NA;description;The cumulative gravimetric percentage of particles with <0.5 mm diameter, reported on a <3 inch base.  ( < 75 mm base)
lab_calculations_including_estimates_and_default_values;cumulative_curve_lt_1_tenth_mm;44;NA;description;The cumulative gravimetric percentage of particles with <0.10 mm diameter, reported on a <3 inch base. (< 75 mm base)
lab_calculations_including_estimates_and_default_values;cumulative_curve_lt_5_hundredths;45;NA;description;The cumulative gravimetric percentage of particles with <0.05 mm diameter, reported on a <3 inch base. (< 75 mm base)
lab_calculations_including_estimates_and_default_values;cumulative_curve_size_lt_10_pe;48;NA;description;The particle diameter (mm) at which 10% (by weight) of the particles in the <3 inch base sample are finer. ( < 75 mm base)
lab_calculations_including_estimates_and_default_values;cumulative_curve_size_lt_50_pe;47;NA;description;The particle diameter (mm) at which 50% (by weight) of the particles in the <3 inch base sample are finer. ( < 75 mm base)
lab_calculations_including_estimates_and_default_values;cumulative_curve_size_lt_60_pe;46;NA;description;The particle diameter (mm) at which 60% (by weight) of the particles in the <3 inch base sample are finer. ( < 75 mm base)
lab_calculations_including_estimates_and_default_values;gradation_curvature;50;NA;description;The coefficient of curvature is a descriptive parameter calculated from the cumulative grain size distribution curve (gradation curve). It is used in the Unified Soil Classification System to evaluate grading characteristics of coarse materials.
lab_calculations_including_estimates_and_default_values;gradiation_uniformity;49;NA;description;The coefficient of uniformity is a descriptive parameter calculated from the cumulative grain size distribution curve (gradation curve). It is used in the Unified Soil Classification System to evaluate grading characteristics of coarse materials. (< 75 mm fraction)
lab_calculations_including_estimates_and_default_values;labsampnum;1;NA;description;A unique identifier number for the pedon assigned by the laboratory. This number is used to link the morphological pedon description with the associated measured property values from the laboratory.
lab_calculations_including_estimates_and_default_values;layer_key;0;NA;identifier;--
lab_calculations_including_estimates_and_default_values;layer_key;0;NA;description;An integer number that uniquely identifies a particular layer
lab_calculations_including_estimates_and_default_values;le_third_bar_to_oven_dry_rewet;52;NA;description;Linear extensibility percent, rewet, 1/3 bar/OD isthe percent dimensional change of a rewet clod as water content changes from oven dry to 1/3 bar tension. It is reported as percent length change on a<2 mm base.
lab_calculations_including_estimates_and_default_values;le_third_fifteen_whole_soil;53;NA;description;Linear extensibility percent, whole soil,1/3 bar/15 bar is the percent change in a clod dimension as water content changes from 15 bar to 1/3 bar tension. It is reported as percent length change on a whole soil base.
lab_calculations_including_estimates_and_default_values;le_third_ovendry_whole_soil;51;NA;description;Linear extensibility percent, whole soil,1/3 bar/Ovendry is the percent change in a clod dimension as water content changes from ovendry to 1/3 bar tension. It is reported as percent length change on a whole soil base.
lab_calculations_including_estimates_and_default_values;particle_density_calc_source;7;NA;description;particle_density_calc_sour
lab_calculations_including_estimates_and_default_values;particle_density_for_calc;6;NA;description;particle_density_for_calc
lab_calculations_including_estimates_and_default_values;pct_pores_drained_third_bar_ws;15;NA;description;Drained pores at 1/3 bar tension is the volumetric percent of drained pores at 1/3 bar water tension, reported on a whole soil base. These are defined as noncapillary pores.
lab_calculations_including_estimates_and_default_values;pct_pores_filled_third_bar_ws;16;NA;description;Filled pores at 1/3 bar tension is the volumetric percent of water filled pores at 1/3 bar water tension, reported on a whole soil base.
lab_calculations_including_estimates_and_default_values;percent_passing_1_and_1_half;69;NA;description;This is the cumulative gravimetric percentage of particles passing through a 1.5 inch sieve, reported on a <3 inch base. (< 75 mm)
lab_calculations_including_estimates_and_default_values;percent_passing_1_inch_sieve;70;NA;description;This is the cumulative gravimetric percentage of particles passing through a 1 inch sieve, reported on a <3 inch base. ( < 75 mm)
lab_calculations_including_estimates_and_default_values;percent_passing_2_inch_sieve;68;NA;description;This is the cumulative gravimetric percentage of particles passing through a 2 inch sieve, reported on a <3 inch base.(<75 mm)
lab_chemical_properties;ph_cacl2;56;NA;description;The pH, 1:2 soil-CaCl2 is the pH of a sample measured in 0.01M CaCl2 at a 1:2 soil:solution ratio.
lab_chemical_properties;ph_cacl2_method;57;NA;description;ph_cacl2 analysis method
lab_chemical_properties;ph_h2o;58;NA;description;The pH, 1:1 soil-water suspension is the pH of a sample measured in distilled water at a 1:1 soil:solution ratio. If wider ratios increase the pH, salts are indicated.
lab_chemical_properties;ph_h2o_method;59;NA;description;ph_h2o analysis method
lab_chemical_properties;ph_kcl;54;NA;description;The pH, 1:1 soil-KCl suspension is the pH of a sample measured in 1.0N KCl at a 1:1 soil:solution ratio. If the pH in KCl < pH in water, Al+++ is indicated.
lab_chemical_properties;ph_kcl_method;55;NA;description;ph_kcl analysis method
lab_chemical_properties;ph_naf;65;NA;description;The pH, 1:50 soil-NaF suspension is the pH of a sample measured in 1.0N NaF at a 1:50 soil:solution ratio. If PH_NAF is > 9.4, andic materials are indicated.
lab_chemical_properties;ph_naf_method;66;NA;description;ph_naf analysis method
lab_chemical_properties;ph_oxidized;62;NA;description;The oxidized pH is the pH of a sample measured after incubation while saturated with distilled water. It is normally used to indicate the acid producing potential of acid sulfate materials.
lab_chemical_properties;ph_oxidized_initial;63;NA;description;ph_oxidized_initial
lab_chemical_properties;ph_oxidized_method;64;NA;description;ph_oxidized analysis method
lab_chemical_properties;ph_saturated_paste;60;NA;description;The pH, saturated paste is the pH of the solution extracted from the saturated paste sample. It is used as an indicator of the irrigated pH of soils with soluble salts.
lab_chemical_properties;ph_saturated_paste_method;61;NA;description;ph_saturated_paste analysis method
lab_chemical_properties;ph_water_extractable;67;NA;description;The pH, water extract is the pH of the solution extracted from the sample with water. It is used as an indicator of the irrigated pH of soils with water.
lab_chemical_properties;ph_water_extract_method;68;NA;description;ph_water_extract analysis method
lab_chemical_properties;phosphate_water_extractable;161;NA;description;PO4 in the water extract. It is reported as meq per liter of extract.
lab_chemical_properties;phosphorus_ammonium_oxalate_method;118;NA;description;phosphorous_nh4_oxalate analysis method
lab_chemical_properties;phosphorus_ammonium_oxalate;117;NA;description;Phosphorus extracted with ammonium oxalate
lab_chemical_properties;phosphorus_anion_resin_24_hr;120;NA;description;phosphorus_anion_resin_24_hr
lab_chemical_properties;phosphorus_anion_resin_capacity;207;NA;description;Anion Exchange Resin Capacity is calculated by adding the reading at 1 hour and the reading at 24 hours.
lab_chemical_properties;phosphorus_anion_resin_method;121;NA;description;phosphorus_anion_resin analysis method
lab_chemical_properties;phosphorus_anion_resin_one_hr;119;NA;description;phosphorus_anion_resin_one_hr
lab_chemical_properties;phosphorus_bray1;122;NA;description;This is the phosphorus extractable by the Bray-1 method, reported as milligrams per kilogram on a <2 mm base. It is used as an index of plant-available phosphorus. Bray-1 extracts adsorbed P.
lab_chemical_properties;phosphorus_bray1_method;123;NA;description;phosphorus_bray1 analysis method
lab_chemical_properties;phosphorus_bray2;124;NA;description;This is the phosphorus extractable by the Bray-2  method, reported as milligrams per kilogram on a <2 mm base. Bray-2 extracts both adsorbed and easily acid-soluble forms of P.
lab_chemical_properties;phosphorus_bray2_method;125;NA;description;phosphorus_bray2 analysis method
lab_chemical_properties;phosphorus_citric_acid;126;NA;description;The water soluble phosphorus is the fraction extracted by distilled water. It represents an attempt to approximate the P concentration in the soil solution, i.e. the mobile P.
lab_chemical_properties;phosphorus_citric_acid_method;127;NA;description;phosphorus_citric_acid analysis method
lab_chemical_properties;phosphorus_mehlich_3;128;NA;description;The phosphorus extracted by the Mehlich III solution.
lab_chemical_properties;phosphorus_mehlich_3_method;129;NA;description;phosphorus_mehlich_3 analysis method
lab_chemical_properties;phosphorus_mehlich3_extractable;185;NA;description;The phosphorus extracted by the Mehlich III solution.
lab_chemical_properties;phosphorus_olsen;130;NA;description;The Olsen extractable phosphorus is used as an indicator of available phosphorus in calcareous soil materials (pH >6).
lab_chemical_properties;phosphorus_olsen_method;131;NA;description;phosphorus_olsen analysis method
lab_chemical_properties;phosphorus_water;132;NA;description;The water soluble phosphorus is the fraction extracted by distilled water. It represents an attempt to approximate the P concentration in the soil solution, i.e. the mobile P.
lab_chemical_properties;phosphorus_water_extractable;160;NA;description;The water soluble phosphorus is the fraction extracted by distilled water. It represents an attempt to approximate the P concentration in the soil solution, i.e. the mobile P.
lab_chemical_properties;phosphorus_water_method;133;NA;description;phosphorus_water analysis method
lab_chemical_properties;po4_satx;95;NA;description;PO4 in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract.
lab_chemical_properties;po4_satx_method;96;NA;description;po4_satx analysis method
lab_chemical_properties;potassium_mehlich3_extractable;186;NA;description;The potassium extracted by the Mehlich III solution.
lab_chemical_properties;potassium_water_extractable;162;NA;description;The potassium extracted by the water solution.
lab_chemical_properties;prep_code;3;NA;description;A character string containing the Soil Survey Laboratory code used to identify the type of sample preparation.
lab_chemical_properties;prep_code;3;NA;method;--
lab_chemical_properties;resistivity_saturated_paste;73;NA;description;Resistivity is the electrical resistance of a saturated soil paste in a standard resistance cup, reported as ohms per centimeter on the <2 mm fraction. It is a measure of the amount of soluble salts in the sample.
lab_chemical_properties;resistivity_sp_method;74;NA;description;resistivity_sp analysis method
lab_chemical_properties;result_source_key;2;NA;description;Foreign key to the pedon or layer table depending on the result_type
lab_chemical_properties;result_source_key;2;NA;note;This is always equal to the layer_key - KTB 20240621
lab_chemical_properties;selenium_mehlich3_extractable;187;NA;description;The selenium extracted by the Mehlich III solution.
lab_chemical_properties;selenium_water_extractable;163;NA;description;The selenium extracted by the water solution.
lab_chemical_properties;silica_ammonium_oxalate;42;NA;description;The amount of ammonium oxalate extractable silica relates to the amount of allophane and imogolite in andic materials. It is reported as a gravimetric percent on a <2 mm base.
lab_chemical_properties;silica_ammonium_oxalate_method;43;NA;description;silica_ammonium_oxalate analysis method
lab_chemical_properties;silicon_mehlich3_extractable;188;NA;description;The silicon extracted by the Mehlich III solution.
lab_chemical_properties;silicon_water_extractable;164;NA;description;The silicon extracted by the water solution.
lab_chemical_properties;so4_satx;101;NA;description;Sulfate in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract.
lab_chemical_properties;so4_satx_method;102;NA;description;so4_satx analysis method
lab_chemical_properties;sodium_absorption_ratio;206;NA;description;The sodium absorption ratio is calculated by NA_SATX/sqrt((CA_SATX+MG_SATX)/2). It is approximately equal to the exchangeable sodium percentage. CMS derived value default
lab_chemical_properties;sodium_mehlich3_extractable;189;NA;description;The sodium extracted by the Mehlich III solution.
lab_chemical_properties;sodium_water_extractable;165;NA;description;The sodium extracted by the Water solution.
lab_chemical_properties;acetate_water_extractable;137;NA;description;The acetate anion in the water extract.
lab_chemical_properties;acidity_bacl2_tea_ph_8_2;12;NA;description;Extractable acidity, BaCl2-TEA at pH 8.2, is a measure of the amount of acid neutralized at a set pH. It is a measure of the potential acidity present, and does not distinguish between exchangeable and nonexchangeable components.
lab_chemical_properties;acidity_bacl2_tea_ph_82_method;13;NA;description;acidity_bacl2_tea_ph_82 analysis method
lab_chemical_properties;al_ammonium_oxalate_method;41;NA;description;al_ammonium_oxalate analysis method
lab_chemical_properties;aluminum_ammonium_oxalate;40;NA;description;Ammonium  oxalate extractable aluminum is an estimate of the total pedogenic Al, much of which may be in noncrystalline materials or complexed by organic matter. It is reported as gravimetric percent on a <2 mm base.
lab_chemical_properties;aluminum_dc_extract_method;33;NA;description;aluminum_dc_extract analysis method
lab_chemical_properties;aluminum_dithionite_citrate;32;NA;description;Dithionite citrate extractable aluminum is an indicator of the amount of aluminum substituted for iron in iron oxides. It does not necessarily represent total pedogenic Al.
lab_chemical_properties;aluminum_kcl_extract_method;15;NA;description;aluminum_kcl_extract analysis method
lab_chemical_properties;aluminum_kcl_extractable;14;NA;description;KCl extractable aluminum approximates the exchangeable Al, and is a measure of the active acidity present in soils with a 1:1 water pH less than 5.5. It relates to the immediate lime requirement and the CEC of the soil.
